preprocessed_text,tokenized_text,lemmatized_text
best middleeastern food place cardiff youre mood authentic middleeastern mixed grill tabouleh hummus place,"['best', 'middleeastern', 'food', 'place', 'cardiff', 'youre', 'mood', 'authentic', 'middleeastern', 'mixed', 'grill', 'tabouleh', 'hummus', 'place']","[ 'best ' , 'middleeastern ' , 'food ' , 'place ' , 'cardiff ' , 'youre ' , 'mood ' , 'authentic ' , 'middleeastern ' , 'mixed ' , 'grill ' , 'tabouleh ' , 'hummus ' , 'place ' ]"
wetherspoons one fgood truly unbeatable deal price nice selection ale well,"['wetherspoons', 'one', 'fgood', 'truly', 'unbeatable', 'deal', 'price', 'nice', 'selection', 'ale', 'well']","[ 'wetherspoons ' , 'one ' , 'fgood ' , 'truly ' , 'unbeatable ' , 'deal ' , 'price ' , 'nice ' , 'selection ' , 'ale ' , 'well ' ]"
good spot try traditional welsh food well tourist like anyway lamb meatball mash sauce pea good covered,"['good', 'spot', 'try', 'traditional', 'welsh', 'food', 'well', 'tourist', 'like', 'anyway', 'lamb', 'meatball', 'mash', 'sauce', 'pea', 'good', 'covered']","[ 'good ' , 'spot ' , 'try ' , 'traditional ' , 'welsh ' , 'food ' , 'well ' , 'tourist ' , 'like ' , 'anyway ' , 'lamb ' , 'meatball ' , 'mash ' , 'sauce ' , 'pea ' , 'good ' , 'covered ' ]"
visited one coldest day cardiff 3 place mind try welsh food decided give one try,"['visited', 'one', 'coldest', 'day', 'cardiff', '3', 'place', 'mind', 'try', 'welsh', 'food', 'decided', 'give', 'one', 'try']","[ 'visited ' , 'one ' , 'coldest ' , 'day ' , 'cardiff ' , ' 3 ' , 'place ' , 'mind ' , 'try ' , 'welsh ' , 'food ' , 'decided ' , 'give ' , 'one ' , 'try ' ]"
visiting cardiff week looking japanese food found ichiban line delighted experiencesashimi,"['visiting', 'cardiff', 'week', 'looking', 'japanese', 'food', 'found', 'ichiban', 'line', 'delighted', 'experiencesashimi']","[ 'visiting ' , 'cardiff ' , 'week ' , 'looking ' , 'japanese ' , 'food ' , 'found ' , 'ichiban ' , 'line ' , 'delighted ' , 'experiencesashimi ' ]"
really dont like sushi bar really like japanese cuisine ichibans extensive mean enjoy noodle soup tempura,"['really', 'dont', 'like', 'sushi', 'bar', 'really', 'like', 'japanese', 'cuisine', 'ichibans', 'extensive', 'mean', 'enjoy', 'noodle', 'soup', 'tempura']","[ 'really ' , 'dont ' , 'like ' , 'sushi ' , 'bar ' , 'really ' , 'like ' , 'japanese ' , 'cuisine ' , 'ichibans ' , 'extensive ' , 'mean ' , 'enjoy ' , 'noodle ' , 'soup ' , 'tempura ' ]"
ichiban albany road second two opened second best canton one ive stated youve got,"['ichiban', 'albany', 'road', 'second', 'two', 'opened', 'second', 'best', 'canton', 'one', 'ive', 'stated', 'youve', 'got']","[ 'ichiban ' , 'albany ' , 'road ' , 'second ' , 'two ' , 'opened ' , 'second ' , 'best ' , 'canton ' , 'one ' , 'ive ' , 'stated ' , 'youve ' , 'got ' ]"
wonderful afternoon tea soup sandwich staff pleasant kind,"['wonderful', 'afternoon', 'tea', 'soup', 'sandwich', 'staff', 'pleasant', 'kind']","[ 'wonderful ' , 'afternoon ' , 'tea ' , 'soup ' , 'sandwich ' , 'staff ' , 'pleasant ' , 'kind ' ]"
cute review said would lovely view bute park cardiff castle lure guest seating outside tent,"['cute', 'review', 'said', 'would', 'lovely', 'view', 'bute', 'park', 'cardiff', 'castle', 'lure', 'guest', 'seating', 'outside', 'tent']","[ 'cute ' , 'review ' , 'said ' , 'would ' , 'lovely ' , 'view ' , 'bute ' , 'park ' , 'cardiff ' , 'castle ' , 'lure ' , 'guest ' , 'seating ' , 'outside ' , 'tent ' ]"
place really charming perfect stop beforeafter castle tour went without reservation immediately seated staff,"['place', 'really', 'charming', 'perfect', 'stop', 'beforeafter', 'castle', 'tour', 'went', 'without', 'reservation', 'immediately', 'seated', 'staff']","[ 'place ' , 'really ' , 'charming ' , 'perfect ' , 'stop ' , 'beforeafter ' , 'castle ' , 'tour ' , 'went ' , 'without ' , 'reservation ' , 'immediately ' , 'seated ' , 'staff ' ]"
okay im going admit something serious im going humbly request fellow yelp foodie show angry,"['okay', 'im', 'going', 'admit', 'something', 'serious', 'im', 'going', 'humbly', 'request', 'fellow', 'yelp', 'foodie', 'show', 'angry']","[ 'okay ' , 'im ' , 'going ' , 'admit ' , 'something ' , 'serious ' , 'im ' , 'going ' , 'humbly ' , 'request ' , 'fellow ' , 'yelp ' , 'foodie ' , 'show ' , 'angry ' ]"
friendly staff good variety food worth money great location happy found place,"['friendly', 'staff', 'good', 'variety', 'food', 'worth', 'money', 'great', 'location', 'happy', 'found', 'place']","[ 'friendly ' , 'staff ' , 'good ' , 'variety ' , 'food ' , 'worth ' , 'money ' , 'great ' , 'location ' , 'happy ' , 'found ' , 'place ' ]"
wanted something quick easy pizza express sounded like best bet surprisingly pricey pizza £1215,"['wanted', 'something', 'quick', 'easy', 'pizza', 'express', 'sounded', 'like', 'best', 'bet', 'surprisingly', 'pricey', 'pizza', '£1215']","[ 'wanted ' , 'something ' , 'quick ' , 'easy ' , 'pizza ' , 'express ' , 'sounded ' , 'like ' , 'best ' , 'bet ' , 'surprisingly ' , 'pricey ' , 'pizza ' , '£1215 ' ]"
one experience change perception food first time went mind altering sense really enjoyed raw,"['one', 'experience', 'change', 'perception', 'food', 'first', 'time', 'went', 'mind', 'altering', 'sense', 'really', 'enjoyed', 'raw']","[ 'one ' , 'experience ' , 'change ' , 'perception ' , 'food ' , 'first ' , 'time ' , 'went ' , 'mind ' , 'altering ' , 'sense ' , 'really ' , 'enjoyed ' , 'raw ' ]"
tenkaichi sushi noodle bar pretty impressive achievement restaurant broadly loved everybody fact dont think ive met,"['tenkaichi', 'sushi', 'noodle', 'bar', 'pretty', 'impressive', 'achievement', 'restaurant', 'broadly', 'loved', 'everybody', 'fact', 'dont', 'think', 'ive', 'met']","[ 'tenkaichi ' , 'sushi ' , 'noodle ' , 'bar ' , 'pretty ' , 'impressive ' , 'achievement ' , 'restaurant ' , 'broadly ' , 'loved ' , 'everybody ' , 'fact ' , 'dont ' , 'think ' , 'ive ' , 'met ' ]"
remember place first opened friend mine worked sale executive radio station selling air time one client,"['remember', 'place', 'first', 'opened', 'friend', 'mine', 'worked', 'sale', 'executive', 'radio', 'station', 'selling', 'air', 'time', 'one', 'client']","[ 'remember ' , 'place ' , 'first ' , 'opened ' , 'friend ' , 'mine ' , 'worked ' , 'sale ' , 'executive ' , 'radio ' , 'station ' , 'selling ' , 'air ' , 'time ' , 'one ' , 'client ' ]"
plan wonderful establishment great food friendly staff make feel welcome soon walk door btw americano coffee,"['plan', 'wonderful', 'establishment', 'great', 'food', 'friendly', 'staff', 'make', 'feel', 'welcome', 'soon', 'walk', 'door', 'btw', 'americano', 'coffee']","[ 'plan ' , 'wonderful ' , 'establishment ' , 'great ' , 'food ' , 'friendly ' , 'staff ' , 'make ' , 'feel ' , 'welcome ' , 'soon ' , 'walk ' , 'door ' , 'btw ' , 'americano ' , 'coffee ' ]"
cafe pleasant arcade location traditional architecturally interesting premise however poor value money particularly,"['cafe', 'pleasant', 'arcade', 'location', 'traditional', 'architecturally', 'interesting', 'premise', 'however', 'poor', 'value', 'money', 'particularly']","[ 'cafe ' , 'pleasant ' , 'arcade ' , 'location ' , 'traditional ' , 'architecturally ' , 'interesting ' , 'premise ' , 'however ' , 'poor ' , 'value ' , 'money ' , 'particularly ' ]"
thanks advice yelp found cute place thanks app could happier hoping breakfast local place avoid,"['thanks', 'advice', 'yelp', 'found', 'cute', 'place', 'thanks', 'app', 'could', 'happier', 'hoping', 'breakfast', 'local', 'place', 'avoid']","[ 'thanks ' , 'advice ' , 'yelp ' , 'found ' , 'cute ' , 'place ' , 'thanks ' , 'app ' , 'could ' , 'happier ' , 'hoping ' , 'breakfast ' , 'local ' , 'place ' , 'avoid ' ]"
im drooooooooooliong thinking place good got chip like sent box yes boxfrom heaven upon opening lush,"['im', 'drooooooooooliong', 'thinking', 'place', 'good', 'got', 'chip', 'like', 'sent', 'box', 'yes', 'boxfrom', 'heaven', 'upon', 'opening', 'lush']","[ 'im ' , 'drooooooooooliong ' , 'thinking ' , 'place ' , 'good ' , 'got ' , 'chip ' , 'like ' , 'sent ' , 'box ' , 'yes ' , 'boxfrom ' , 'heaven ' , 'upon ' , 'opening ' , 'lush ' ]"
amazing 5 star food fish bar classic uk dish called fish chip amazing crunchy chewy recommend coming,"['amazing', '5', 'star', 'food', 'fish', 'bar', 'classic', 'uk', 'dish', 'called', 'fish', 'chip', 'amazing', 'crunchy', 'chewy', 'recommend', 'coming']","[ 'amazing ' , ' 5 ' , 'star ' , 'food ' , 'fish ' , 'bar ' , 'classic ' , 'uk ' , 'dish ' , 'called ' , 'fish ' , 'chip ' , 'amazing ' , 'crunchy ' , 'chewy ' , 'recommend ' , 'coming ' ]"
dont know albany fish bar gone downhill year must keep seeing everywhere fantastic ordering,"['dont', 'know', 'albany', 'fish', 'bar', 'gone', 'downhill', 'year', 'must', 'keep', 'seeing', 'everywhere', 'fantastic', 'ordering']","[ 'dont ' , 'know ' , 'albany ' , 'fish ' , 'bar ' , 'gone ' , 'downhill ' , 'year ' , 'must ' , 'keep ' , 'seeing ' , 'everywhere ' , 'fantastic ' , 'ordering ' ]"
wonderful food service great decor plain pasta tomato spice sauce excellent vegetarian daughter loved everything,"['wonderful', 'food', 'service', 'great', 'decor', 'plain', 'pasta', 'tomato', 'spice', 'sauce', 'excellent', 'vegetarian', 'daughter', 'loved', 'everything']","[ 'wonderful ' , 'food ' , 'service ' , 'great ' , 'decor ' , 'plain ' , 'pasta ' , 'tomato ' , 'spice ' , 'sauce ' , 'excellent ' , 'vegetarian ' , 'daughter ' , 'loved ' , 'everything ' ]"
matter whats order delicious save money since byo there liquor store right,"['matter', 'whats', 'order', 'delicious', 'save', 'money', 'since', 'byo', 'there', 'liquor', 'store', 'right']","[ 'matter ' , 'whats ' , 'order ' , 'delicious ' , 'save ' , 'money ' , 'since ' , 'byo ' , 'there ' , 'liquor ' , 'store ' , 'right ' ]"
kid wanted italian apprehensive wrong nice13£ 2 course lunch wine calamari wonderful mussel wonderful,"['kid', 'wanted', 'italian', 'apprehensive', 'wrong', 'nice13£', '2', 'course', 'lunch', 'wine', 'calamari', 'wonderful', 'mussel', 'wonderful']","[ 'kid ' , 'wanted ' , 'italian ' , 'apprehensive ' , 'wrong ' , 'nice13£ ' , ' 2 ' , 'course ' , 'lunch ' , 'wine ' , 'calamari ' , 'wonderful ' , 'mussel ' , 'wonderful ' ]"
ive 10 take aways eaten three time night problem curry slightly,"['ive', '10', 'take', 'aways', 'eaten', 'three', 'time', 'night', 'problem', 'curry', 'slightly']","[ 'ive ' , '10 ' , 'take ' , 'aways ' , 'eaten ' , 'three ' , 'time ' , 'night ' , 'problem ' , 'curry ' , 'slightly ' ]"
many year lived along street cinnamon tree many year walk home made magical aroma pouring,"['many', 'year', 'lived', 'along', 'street', 'cinnamon', 'tree', 'many', 'year', 'walk', 'home', 'made', 'magical', 'aroma', 'pouring']","[ 'many ' , 'year ' , 'lived ' , 'along ' , 'street ' , 'cinnamon ' , 'tree ' , 'many ' , 'year ' , 'walk ' , 'home ' , 'made ' , 'magical ' , 'aroma ' , 'pouring ' ]"
please note rare five star rating cinnamon tree curry lover heaven lucky living door away waistline maybe,"['please', 'note', 'rare', 'five', 'star', 'rating', 'cinnamon', 'tree', 'curry', 'lover', 'heaven', 'lucky', 'living', 'door', 'away', 'waistline', 'maybe']","[ 'please ' , 'note ' , 'rare ' , 'five ' , 'star ' , 'rating ' , 'cinnamon ' , 'tree ' , 'curry ' , 'lover ' , 'heaven ' , 'lucky ' , 'living ' , 'door ' , 'away ' , 'waistline ' , 'maybe ' ]"
nice ice cream parlor water line door pick flavor cone flavor topping orange ripple basically orange,"['nice', 'ice', 'cream', 'parlor', 'water', 'line', 'door', 'pick', 'flavor', 'cone', 'flavor', 'topping', 'orange', 'ripple', 'basically', 'orange']","[ 'nice ' , 'ice ' , 'cream ' , 'parlor ' , 'water ' , 'line ' , 'door ' , 'pick ' , 'flavor ' , 'cone ' , 'flavor ' , 'topping ' , 'orange ' , 'ripple ' , 'basically ' , 'orange ' ]"
busy place obviously crowd favorite complaint seating tight inside hang onto wig sit outside,"['busy', 'place', 'obviously', 'crowd', 'favorite', 'complaint', 'seating', 'tight', 'inside', 'hang', 'onto', 'wig', 'sit', 'outside']","[ 'busy ' , 'place ' , 'obviously ' , 'crowd ' , 'favorite ' , 'complaint ' , 'seating ' , 'tight ' , 'inside ' , 'hang ' , 'onto ' , 'wig ' , 'sit ' , 'outside ' ]"
great icecream especially sundae avoid queue sometimes extremely long,"['great', 'icecream', 'especially', 'sundae', 'avoid', 'queue', 'sometimes', 'extremely', 'long']","[ 'great ' , 'icecream ' , 'especially ' , 'sundae ' , 'avoid ' , 'queue ' , 'sometimes ' , 'extremely ' , 'long ' ]"
recently moved cardiff ichiban one restaurant actually like city cardiff full overpriced mediocre restaurant,"['recently', 'moved', 'cardiff', 'ichiban', 'one', 'restaurant', 'actually', 'like', 'city', 'cardiff', 'full', 'overpriced', 'mediocre', 'restaurant']","[ 'recently ' , 'moved ' , 'cardiff ' , 'ichiban ' , 'one ' , 'restaurant ' , 'actually ' , 'like ' , 'city ' , 'cardiff ' , 'full ' , 'overpriced ' , 'mediocre ' , 'restaurant ' ]"
note review based delivery havent physically inside restaurant californian girl grew amazingly delicious,"['note', 'review', 'based', 'delivery', 'havent', 'physically', 'inside', 'restaurant', 'californian', 'girl', 'grew', 'amazingly', 'delicious']","[ 'note ' , 'review ' , 'based ' , 'delivery ' , 'havent ' , 'physically ' , 'inside ' , 'restaurant ' , 'californian ' , 'girl ' , 'grew ' , 'amazingly ' , 'delicious ' ]"
love ichibans sushi good still havent tried dish menu hot noodle dish every time go,"['love', 'ichibans', 'sushi', 'good', 'still', 'havent', 'tried', 'dish', 'menu', 'hot', 'noodle', 'dish', 'every', 'time', 'go']","[ 'love ' , 'ichibans ' , 'sushi ' , 'good ' , 'still ' , 'havent ' , 'tried ' , 'dish ' , 'menu ' , 'hot ' , 'noodle ' , 'dish ' , 'every ' , 'time ' , 'go ' ]"
massively well known across cardiff resident genuinely one nicest chinese restaurant course modern,"['massively', 'well', 'known', 'across', 'cardiff', 'resident', 'genuinely', 'one', 'nicest', 'chinese', 'restaurant', 'course', 'modern']","[ 'massively ' , 'well ' , 'known ' , 'across ' , 'cardiff ' , 'resident ' , 'genuinely ' , 'one ' , 'nicest ' , 'chinese ' , 'restaurant ' , 'course ' , 'modern ' ]"
grew cantonese household san francisco bay area dim sum pretty much religion want try authentic cuisine,"['grew', 'cantonese', 'household', 'san', 'francisco', 'bay', 'area', 'dim', 'sum', 'pretty', 'much', 'religion', 'want', 'try', 'authentic', 'cuisine']","[ 'grew ' , 'cantonese ' , 'household ' , 'san ' , 'francisco ' , 'bay ' , 'area ' , 'dim ' , 'sum ' , 'pretty ' , 'much ' , 'religion ' , 'want ' , 'try ' , 'authentic ' , 'cuisine ' ]"
